id,title,original_air_date,production_code,season,number_in_season,number_in_series,us_viewers_in_millions,views,imdb_rating,imdb_votes
56,Black Widower,09/04/1992,8F20,3,21,56,17.3,57582,8.2,1233
61,A Streetcar Named Marge,01/10/1992,8F18,4,2,61,18.3,54487,8.1,1339
64,Treehouse of Horror III,29/10/1992,9F04,4,5,64,25.1,108171,8.4,1394
68,Mr. Plow,19/11/1992,9F07,4,9,68,24,63564,8.8,1595
94,Homer and Apu,10/02/1994,1F10,5,13,94,21.8,58716,8.3,1171
97,Homer Loves Flanders,17/03/1994,1F14,5,16,97,18,69996,8.5,1191
99,Burns' Heir,14/04/1994,1F16,5,18,99,14.7,81678,8.4,1143
137,Sideshow Bob's Last Gleaming,26/11/1995,3F08,7,9,137,14.2,61246,8,1023
113,Grampa vs. Sexual Inadequacy,04/12/1994,2F07,6,10,113,14.1,64719,8,1060
147,A Fish Called Selma,24/03/1996,3F15,7,19,147,12.9,57830,8.2,1103
117,Bart's Comet,05/02/1995,2F11,6,14,117,18.7,67619,8.6,1221
131,Home Sweet Homediddly-Dum-Doodily,01/10/1995,3F01,7,3,131,14.5,70120,8.3,1088
142,Scenes from the Class Struggle in Springfield,04/02/1996,3F11,7,14,142,14.4,58572,7.7,962
119,Bart vs. Australia,19/02/1995,2F13,6,16,119,15.1,80724,8.5,1353
135,King-Size Homer,05/11/1995,3F05,7,7,135,17,81426,9,1633
103,Secrets of a Successful Marriage,19/05/1994,1F20,5,22,103,15.6,67959,8,1060
105,Lisa's Rival,11/09/1994,1F17,6,2,105,16.7,54225,8.1,1156
121,A Star Is Burns,05/03/1995,2F31,6,18,121,14.4,71936,8.5,1223
122,Lisa's Wedding,19/03/1995,2F15,6,19,122,14.4,74266,8.3,1190
106,Another Simpsons Clip Show,25/09/1994,2F33,6,3,106,13.5,42576,6,1051
133,Lisa the Vegetarian,15/10/1995,3F03,7,5,133,14.6,69245,8.5,1288
124,The PTA Disbands,16/04/1995,2F19,6,21,124,11.8,74788,8.1,1004
108,Sideshow Bob Roberts,09/10/1994,2F02,6,5,108,14.4,76932,8.3,1142
110,Bart's Girlfriend,06/11/1994,2F04,6,7,110,15.3,62450,8,1150
129,Who Shot Mr. Burns? (Part Two),17/09/1995,2F20,7,1,129,16,67579,8.9,1497
126,The Springfield Connection,07/05/1995,2F21,6,23,126,12.7,79777,8.2,1003
145,Homer the Smithers,25/02/1996,3F14,7,17,145,14.1,68354,8.9,1609
112,Homer Badman,27/11/1994,2F06,6,9,112,17,71577,9,1655
115,Homer the Great,08/01/1995,2F09,6,12,115,20.1,71002,8.9,1457
138,The Simpsons 138th Episode Spectacular,03/12/1995,3F31,7,10,138,16.4,56153,7.5,1038
141,Two Bad Neighbors,14/01/1996,3F09,7,13,141,16.5,64224,8.7,1264
144,Lisa the Iconoclast,18/02/1996,3F13,7,16,144,13.4,58795,8.1,1039
136,Mother Simpson,19/11/1995,3F06,7,8,136,15.3,61085,8.5,1226
150,"Raging Abe Simpson and His Grumbling Grandson in ""The Curse of the Flying Hellfish""",28/04/1996,3F19,7,22,150,13,69120,8.3,1122
152,Homerpalooza,19/05/1996,3F21,7,24,152,12.9,60569,8,1095
181,Lisa's Sax,19/10/1997,3G02,9,3,181,12.9,20008,8.1,980
166,Simpsoncalifragilisticexpiala(Annoyed Grunt)cious,07/02/1997,3G03,8,13,166,17.7,57608,7.7,1088
154,Treehouse of Horror VII,27/10/1996,4F02,8,1,154,18.3,102077,8.3,1186
169,Brother from Another Series,23/02/1997,4F14,8,16,169,15.1,56659,8.2,1100
156,The Homer They Fall,10/11/1996,4F03,8,3,156,17,61146,8,1085
